SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1715798084.110789, -0.124050, -2.015170, -9.926061, -0.204297, 0.016179, 0.115117, 17.677704, 141.629684, -236.626465
1715798084.144128, -0.325911, -1.994819, -10.207080, 0.187038, 0.025537, 0.214231, 17.940994, 141.088547, -236.548035
1715798084.176846, -0.387561, -1.785177, -9.838822, 0.314048, 0.083846, 0.224711, 17.798111, 141.234558, -236.642288
1715798084.209820, -0.511162, -1.885583, -9.783007, 0.131453, 0.106127, 0.148322, 17.896896, 141.413574, -236.673157
1715798084.244043, -0.542137, -2.181417, -9.898378, -0.113732, 0.109842, 0.224911, 18.059204, 141.149475, -236.722382
1715798084.277355, -0.539144, -1.968333, -10.273669, -0.034738, 0.238385, 0.291019, 18.092529, 141.418625, -236.978134
1715798084.310758, -0.153678, -2.142661, -10.392182, 0.117623, 0.241990, 0.356925, 18.231110, 141.431931, -236.893280
1715798084.343760, -0.366313, -2.955193, -10.420912, 0.103048, 0.276890, 0.420163, 18.020279, 141.377090, -236.729492
1715798084.377380, 0.034566, -3.185336, -10.676194, 0.171929, 0.094586, 0.443642, 18.080612, 141.598877, -236.964828
1715798084.410709, 0.380828, -3.278859, -10.280552, 0.008974, -0.094671, 0.623048, 18.143311, 141.417450, -237.028717
1715798084.444040, 0.553659, -2.868553, -8.949526, -0.386506, 0.073043, 1.051540, 18.762268, 141.187744, -236.957031
1715798084.477420, 0.550217, -1.576881, -8.223185, -0.611347, 0.860132, 1.340434, 19.320786, 140.833511, -236.462265
1715798084.510634, 0.855628, -1.070208, -8.473080, -0.746831, 1.045557, 1.486521, 19.537521, 140.258972, -236.321762
1715798084.544067, 0.975637, -1.477372, -7.524677, -1.106012, 1.224964, 1.335369, 19.787247, 139.802856, -235.634338
1715798084.577400, 0.975787, -0.520290, -10.791864, -1.401079, 0.729421, 1.081618, 20.126343, 138.932388, -234.577911
1715798084.610731, 0.107440, -1.321899, -13.285874, 0.001128, -0.178324, 1.125803, 20.071060, 137.995010, -234.217560
1715798084.644066, 0.235081, -1.185130, -12.558037, 1.104032, -0.193378, 0.851525, 20.554855, 138.222900, -234.354370
1715798084.677395, -0.566977, 0.004639, -10.701333, 0.981136, 0.306200, 0.229893, 20.785400, 139.092133, -234.924408
1715798084.710733, -0.687136, -0.040103, -9.833884, 0.090508, 0.248887, 0.110059, 21.092972, 139.144638, -235.414169
1715798084.744183, 2.468871, -2.252345, -11.944522, -0.535468, -0.929010, 0.678153, 21.163971, 139.309875, -235.123703
1715798084.777413, -1.040580, -0.128389, -10.387244, -0.514204, -1.287927, 0.231451, 22.160202, 138.486877, -235.158157
1715798084.810742, -1.897255, -0.503830, -12.573300, 0.634876, -0.588888, -0.354085, 22.398392, 138.309052, -235.436859
1715798084.844092, -0.119560, -1.412878, -10.951976, 0.975865, -0.469654, -0.030384, 22.674606, 138.725601, -235.442154
1715798084.877391, -0.294337, -1.163732, -8.969577, 0.650259, -0.629533, -0.074716, 23.119995, 139.296600, -236.016708
1715798084.910707, -0.308553, -1.387889, -8.767118, 0.198160, -0.120327, -0.005202, 23.310684, 139.396027, -236.316818
1715798084.944168, 0.038756, -1.255011, -8.591443, -0.029974, 0.120601, 0.038123, 23.303040, 139.495621, -236.408401
1715798084.977404, 0.054767, -0.872387, -9.599252, -0.141523, -0.446327, 0.111761, 23.312759, 139.291458, -236.547501
1715798085.010756, 0.192584, -0.734272, -9.617957, 0.144786, -0.907283, 0.093440, 23.790955, 139.393021, -236.547806
1715798085.044089, 0.264260, -0.799364, -8.514080, 0.044129, -0.434286, 0.124409, 24.169540, 139.482407, -236.994049
1715798085.077408, -0.734721, -1.217302, -8.138939, -0.008656, 0.076011, 0.077379, 24.495010, 139.623749, -236.926208
1715798085.110743, -1.004368, -1.757494, -9.000103, -0.094300, -0.136999, 0.135447, 24.528778, 139.514282, -236.791580
1715798085.144090, -1.341800, -1.876306, -9.494656, -0.042139, -0.248015, 0.093284, 24.685867, 139.704803, -237.019730
1715798085.177403, -0.982072, -2.175581, -9.645939, 0.004027, -0.151819, 0.139476, 24.953812, 139.449860, -236.947830
1715798085.210715, -1.096844, -1.995866, -9.381230, -0.102860, 0.100260, 0.190505, 25.089355, 139.235641, -237.137268
1715798085.244086, -1.019182, -1.953519, -9.912145, -0.376941, -0.060379, 0.353276, 24.939285, 139.305145, -237.004898
1715798085.277416, -1.388188, -2.935591, -12.152519, -0.285017, 0.178010, 0.373944, 25.263031, 138.713638, -236.622635
1715798085.310853, -1.955614, -4.587590, -15.821782, 0.137700, -0.592610, 0.569958, 25.618927, 138.727158, -236.680984
1715798085.344074, -4.597316, -4.393061, -19.820249, 0.928392, -0.621718, 0.464343, 26.008972, 138.560699, -236.769928
1715798085.377447, -6.742371, -3.512743, -20.346225, 1.163350, -0.593669, 0.211983, 27.005478, 139.282120, -237.950882
1715798085.410169, -8.403349, -0.895431, -19.619136, 1.879539, -0.203822, -0.602548, 26.648026, 139.448914, -238.182739
1715798085.444055, -6.783821, 0.802656, -14.620941, 2.442869, -1.035276, -0.948282, 26.315216, 140.902130, -239.787369
