SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1715798022.538899, -0.177470, -2.936937, -10.516830, -0.291807, 0.091185, -0.070081, 13.049240, 139.795242, -237.018951
1715798022.571442, -0.603339, -2.133832, -9.853636, -0.231929, 0.026476, 0.033206, 12.680908, 139.772247, -236.899841
1715798022.605633, 0.106243, -1.939303, -9.553762, -0.159959, 0.310979, -0.163845, 12.827957, 140.067307, -236.926361
1715798022.639020, 0.550966, -2.169895, -9.754277, 0.101506, 0.777324, 0.262042, 12.580872, 139.592392, -237.116699
1715798022.672316, 0.486771, -1.801786, -10.063877, 0.067551, 0.460505, 0.391044, 12.175674, 139.621033, -237.241241
1715798022.705629, 1.285537, -2.766051, -9.321974, 0.010613, 0.399195, 0.406232, 12.469711, 139.817429, -237.022949
1715798022.739015, 1.988833, -1.537227, -6.249914, -0.309721, 2.283913, 0.232914, 11.997040, 140.054276, -237.446655
1715798022.772273, 0.589423, -2.558055, -12.047174, -0.804189, 0.623643, 1.421926, 11.521881, 139.943405, -237.338394
1715798022.805576, 1.769614, -0.678008, -9.704448, -0.903677, 0.831965, 1.585050, 12.028015, 139.721588, -236.789185
1715798022.838746, 2.325368, -0.649577, -10.582671, -1.459965, 0.824298, 1.271477, 12.122055, 139.365570, -236.726059
1715798022.872335, 2.268955, 0.221613, -10.806229, -1.796186, 0.972238, 0.803723, 11.875290, 138.611877, -236.013931
1715798022.905615, 2.844910, 0.730531, -9.781212, -1.408968, 3.552338, 0.513647, 10.914536, 137.638702, -235.333954
1715798022.938950, 4.852299, -0.293589, -18.726398, -0.155966, 1.073444, 0.588452, 9.862015, 137.486465, -235.812286
1715798022.972369, 4.643404, -3.353528, -9.988160, 1.770030, -1.410183, 0.469648, 10.555252, 137.861481, -236.100815
1715798023.005610, 2.761263, -2.656965, -8.903587, -0.809707, -2.141981, 0.976307, 12.365646, 138.329865, -235.447968
1715798023.038956, 2.547131, -1.456572, -10.569503, -0.859342, -1.953840, 1.207990, 12.838074, 138.072861, -235.326935
1715798023.072307, -2.917335, -0.443526, -14.336180, 0.210756, -0.749648, -0.241167, 14.218002, 137.929062, -234.678131
1715798023.105657, -0.936133, -0.989553, -13.263728, 0.987765, -0.243396, -0.873350, 14.200684, 138.232391, -234.997818
1715798023.138961, -0.988057, -0.375291, -11.749096, 0.818457, -1.102927, -1.032354, 14.515411, 138.637939, -235.279541
1715798023.172290, 0.367211, -0.677110, -10.177452, 0.495073, -1.786394, -1.052516, 14.729782, 138.892059, -235.281799
1715798023.205711, 2.374898, -0.615459, -8.669554, 0.326567, -1.375661, -1.309977, 15.089218, 139.115311, -235.186523
1715798023.238946, 5.089923, -1.139939, -9.127146, 0.346519, -1.492640, -1.161878, 15.015961, 139.064163, -235.126755
1715798023.272302, 8.334216, -0.933140, -8.913613, 0.161410, -2.616688, -0.487382, 15.417801, 139.225357, -234.844666
1715798023.305626, 11.309161, -0.916530, -8.376863, -0.280395, -1.579533, 0.010893, 17.045868, 139.391708, -234.843597
1715798023.339060, 12.477232, -0.799214, -10.434529, 0.211314, 1.195548, 0.779206, 17.215012, 139.117218, -234.934784
1715798023.372332, 11.028142, 0.184952, -10.109517, 0.661991, 0.514207, 1.753785, 17.380814, 139.310791, -235.169525
1715798023.405677, 7.212981, 0.746991, -6.785616, 0.449639, 0.477893, 2.356334, 18.018875, 139.796310, -235.596069
1715798023.439028, 4.630386, 0.625336, -7.123199, 0.019028, 1.151978, 2.611730, 18.835938, 139.927078, -235.739365
1715798023.472279, 2.510470, 0.912191, -8.255806, 0.003906, 0.824453, 2.838275, 19.883301, 139.778503, -235.674927
1715798023.505628, -0.415244, 0.652420, -8.693496, 0.107867, 0.770537, 2.725528, 20.579041, 139.476089, -236.029495
1715798023.538971, -2.161066, 0.319177, -8.660426, -0.110723, 0.636817, 2.643168, 21.604263, 139.161667, -235.621109
1715798023.572298, -4.035577, 0.004788, -9.455301, -0.166088, 1.213331, 2.251109, 22.142380, 138.882004, -235.512527
1715798023.605610, -4.853047, -0.008380, -10.249727, -0.191955, 1.239272, 1.915362, 22.655228, 138.569656, -235.600266
1715798023.638922, -4.577414, 0.594959, -10.832116, -0.011185, 0.974154, 1.384621, 22.731689, 137.972778, -235.519791
1715798023.672268, -3.902698, 0.829591, -10.744579, 0.127642, 0.598597, 1.124600, 22.951538, 137.858826, -234.993011
1715798023.705698, -3.857209, 0.804152, -9.705345, 0.036560, 0.533967, 0.865365, 22.768112, 137.936966, -235.089493
1715798023.738915, -3.534739, 1.010652, -9.771485, -0.193092, 0.831833, 0.476237, 22.600037, 137.721085, -234.896912
1715798023.771734, -2.267159, 1.010353, -10.841095, -0.105666, 0.319344, 0.539377, 22.461334, 137.472656, -234.978592
1715798023.805574, -2.980482, 1.178396, -10.811018, 0.007400, -0.040815, 0.436420, 22.943314, 137.577194, -234.770065
1715798023.838897, -3.503914, 0.547823, -10.644920, -0.031680, -0.001284, 0.190250, 23.048218, 137.533112, -234.546692
1715798023.872225, -3.847632, 0.010924, -10.315867, -0.087425, -0.018498, -0.058259, 22.650589, 137.237122, -234.794220
1715798023.905558, -4.215441, -0.067636, -10.731859, -0.186632, -0.177275, -0.299871, 22.965866, 137.249542, -234.883667
1715798023.938888, -4.131494, 0.218022, -11.473314, -0.200947, -0.101360, -0.456049, 22.734375, 137.260208, -234.573792
1715798023.972241, -4.750395, 1.080084, -12.571504, 0.088751, -0.026886, -0.972538, 22.708328, 137.443298, -234.409714
1715798024.005648, -4.326173, 1.533636, -12.346748, 0.359182, -0.410306, -1.084835, 22.213196, 137.486038, -234.638214
1715798024.038892, -4.302979, 1.803432, -10.888979, 0.190993, -0.761424, -1.140879, 22.195099, 138.101974, -235.016724
1715798024.072259, -4.842722, 1.893664, -10.283545, -0.311349, -0.700587, -1.720327, 22.009430, 137.855881, -234.899567
1715798024.105580, -4.496610, 2.212542, -11.912650, -0.316934, -0.639384, -1.959736, 21.863235, 137.958206, -234.931763
1715798024.139009, -4.144213, 2.325518, -12.524069, -0.262023, -1.074009, -2.248615, 21.279434, 138.137848, -234.718552
1715798024.172228, -2.193388, 2.139070, -13.525743, 0.428844, -1.137349, -2.425990, 21.293350, 138.316299, -234.773438
1715798024.205573, -2.551022, 2.372953, -11.815236, 0.452635, -1.375633, -2.592156, 20.630615, 139.189224, -235.121780
1715798024.238929, -1.190367, 2.557756, -11.120618, 0.266198, -1.265241, -2.746989, 20.055084, 139.401108, -235.363647
1715798024.272250, 3.530699, 1.590348, -10.337564, 0.266056, -0.978881, -2.033635, 19.583847, 139.597488, -234.984283
1715798024.305386, 1.845481, 2.244115, -9.057115, -0.174809, -0.470964, -2.068063, 19.431335, 139.709366, -234.922485
1715798024.338929, 5.963657, 1.038036, -10.162937, -0.092056, -0.459797, -1.607759, 18.933548, 139.309998, -234.613434
1715798024.372330, 6.501155, 0.213084, -10.251523, 0.127770, -0.092730, -1.369630, 18.197983, 138.494339, -234.124115
1715798024.405583, 6.775441, -0.060454, -9.733926, 0.122652, -0.361105, -1.381695, 18.056168, 138.073944, -234.095718
1715798024.438978, 7.662194, -1.506551, -9.871144, 0.196892, -0.500726, -1.451235, 17.583267, 137.554657, -233.450485
1715798024.472242, 9.003395, -2.644695, -9.180117, 0.112579, -0.326081, -1.062672, 17.783310, 135.317581, -233.005829
1715798024.505580, 8.456171, -3.347543, -9.475801, 0.889564, 0.540534, -1.310667, 17.689499, 134.360291, -232.597885
1715798024.538456, 9.247155, -3.647716, -10.513388, 0.447682, -0.183330, 0.433914, 16.670975, 133.938217, -232.733521
1715798024.572382, 3.557484, -2.548927, -5.667524, -0.378933, -0.704307, 0.328383, 17.295700, 134.480515, -233.171524
1715798024.605629, 6.812551, -3.629610, -9.971102, 0.135317, 0.006397, 0.299657, 17.388199, 135.366821, -233.507172
1715798024.638938, 5.116708, -3.005471, -9.036615, 0.300546, 0.451328, 0.555845, 17.454895, 135.962402, -233.945297
1715798024.672268, 0.908600, -2.925565, -8.845827, -0.301678, -0.643781, 0.532719, 17.243958, 137.067810, -234.488739
1715798024.705762, 2.852542, -3.085527, -10.701483, 0.368331, -0.267199, -0.000587, 17.807495, 137.898254, -234.650391
1715798024.739010, 7.185448, -2.165106, -8.293365, 0.240451, 0.312397, 0.632765, 18.196136, 138.728104, -234.625107
1715798024.772268, 7.341221, -1.977760, -9.104999, -0.177718, 0.726131, 1.346924, 17.787247, 139.274551, -235.295288
1715798024.805723, 4.490774, -2.009932, -11.923573, -0.119772, -0.247167, 1.658264, 18.317703, 139.631607, -235.586929
1715798024.838948, 4.868459, -0.632219, -9.870246, 0.055348, -0.272752, 2.097999, 19.170578, 139.892609, -235.762024
1715798024.872492, 3.974375, 0.260968, -8.370728, -0.089615, 1.735875, 1.961983, 20.189926, 140.188477, -235.999374
1715798024.905694, 1.868674, 0.512210, -8.692448, -0.495392, 1.095024, 2.350233, 20.560043, 140.146408, -235.712891
1715798024.939046, -0.601094, 1.596933, -8.778640, -0.512605, 0.140731, 2.273327, 21.519760, 139.467361, -235.820160
1715798024.972386, -1.124227, 1.740285, -8.958953, -0.785638, 0.596666, 2.324944, 21.838318, 138.936508, -235.659561
1715798025.005614, -3.338116, 2.003049, -10.683377, -0.630834, 1.246440, 2.177299, 22.490494, 138.144638, -235.350281
1715798025.039089, -3.891476, 2.229151, -12.158205, -0.296348, 0.853480, 1.862431, 22.683334, 137.615967, -234.778519
1715798025.072294, -3.334075, 2.248904, -11.359140, -0.004931, 0.706086, 1.848851, 22.952911, 137.264618, -234.883972
1715798025.105641, -3.744831, 2.409465, -11.200973, -0.115097, 0.823478, 1.559933, 23.145996, 136.949554, -234.479324
1715798025.138947, -2.626589, 2.342277, -11.181820, -0.101765, 1.081625, 1.576112, 23.309753, 136.593948, -234.027435
1715798025.172286, -2.601150, 1.879149, -11.239580, -0.229929, 1.015318, 1.501636, 23.165161, 136.380234, -234.239136
1715798025.205635, -3.112013, 1.701230, -11.655722, 0.014895, 1.375357, 1.056547, 23.070724, 136.112045, -234.085281
1715798025.238783, -1.566556, 1.838897, -11.088146, 0.047445, 0.906693, 1.040504, 22.693436, 135.950104, -233.560349
1715798025.272504, -1.941997, 1.712602, -11.130344, -0.069182, 0.641584, 1.093264, 22.547363, 135.663086, -233.421326
1715798025.305788, -3.428048, 1.307683, -10.715399, -0.330972, 0.683308, 0.733238, 22.492432, 135.642014, -233.437057
1715798025.338953, -3.682581, 0.591817, -11.784261, -0.347724, 0.396370, 0.581222, 22.289017, 135.188370, -233.109116
1715798025.372293, -5.109825, 0.406266, -12.647221, -0.001609, 0.106331, 0.076482, 22.536545, 134.970581, -233.170273
1715798025.405629, -5.989844, 0.378882, -12.306047, 0.245354, -0.394177, -0.330635, 22.063431, 134.915558, -233.028122
1715798025.439053, -6.513875, 0.954538, -11.957391, 0.352726, -0.277337, -0.908006, 22.313812, 135.174911, -233.155106
1715798025.472366, -5.370943, 1.565509, -11.360637, 0.411678, -0.415879, -1.144544, 22.220444, 135.608414, -233.515518
1715798025.505707, -5.932084, 3.101838, -10.809372, 0.187183, -0.680461, -1.623930, 22.244537, 136.246216, -233.528122
1715798025.538953, -4.425532, 3.533243, -11.040113, 0.331104, -0.766957, -2.277680, 22.011475, 136.747803, -234.024155
1715798025.572395, -3.279158, 3.489250, -10.675147, 0.313604, -1.019981, -2.611908, 21.543686, 137.151215, -234.158920
1715798025.605624, -1.677737, 3.193416, -10.517878, 0.199836, -1.157401, -2.610362, 20.952545, 137.667404, -234.263351
1715798025.639083, -2.015319, 3.413683, -10.490494, 0.092099, -1.177360, -2.802917, 20.530563, 137.922852, -234.493362
1715798025.672359, 1.211915, 3.106776, -11.116129, 0.165375, -1.031872, -2.877442, 20.165146, 138.169739, -234.430191
1715798025.705646, 2.523788, 2.189797, -10.398916, 0.200347, -1.081371, -2.424383, 19.390305, 138.611206, -234.622971
1715798025.739085, 3.178752, 1.344344, -9.648483, -0.075680, -1.037739, -1.925938, 19.073715, 138.337112, -234.612167
1715798025.772295, 0.682198, 2.484732, -10.460566, -0.816197, -1.705105, -2.103815, 18.760315, 138.467743, -234.182068
1715798025.805625, 3.812617, 2.138022, -12.907889, -0.265033, -0.327176, -2.505954, 18.552933, 137.704453, -233.726639
1715798025.839028, 5.743540, 1.042226, -12.493992, 0.017504, -0.400054, -1.908903, 17.872345, 137.766006, -233.725250
1715798025.872328, 4.208258, 1.149516, -11.457003, -0.078346, -1.291927, -1.547430, 17.804703, 137.551346, -233.455002
1715798025.905663, 5.617396, 0.359430, -10.882694, 0.268079, -0.010686, -1.530331, 17.663651, 137.085983, -233.386826
1715798025.938998, 5.821501, 0.115820, -10.321403, 0.363724, 0.064501, -1.164136, 17.257660, 136.884872, -233.143753
1715798025.972336, 5.822399, -0.680701, -9.701155, 0.368784, -0.190645, -0.700520, 17.085983, 136.923309, -233.115082
1715798026.005660, 5.801151, -1.156699, -8.557475, 0.172587, 0.187057, -0.404864, 17.113007, 136.807098, -232.813065
1715798026.038993, 6.172850, -1.638831, -9.282021, -0.042933, -0.163995, -0.140016, 16.667084, 136.667770, -232.721725
1715798026.072323, 7.710526, -1.917756, -9.913042, -0.151421, -0.324121, 0.401445, 17.242462, 136.313232, -232.739746
1715798026.105664, 7.911939, -1.985691, -10.835708, 0.037493, 0.531234, 0.953442, 17.569412, 136.512405, -232.812958
1715798026.139047, 7.311443, -1.755698, -11.134534, 0.200912, 0.465734, 1.395938, 17.607300, 137.032181, -232.882919
1715798026.172331, 6.349572, -1.197400, -10.363003, 0.110343, 0.398294, 1.699104, 17.913788, 137.892349, -233.349594
1715798026.205734, 5.331737, -0.385018, -10.677391, 0.142174, 0.637081, 1.844223, 18.306717, 138.248260, -233.746490
1715798026.239010, 4.411915, 0.064793, -10.170868, -0.005166, 0.484127, 2.193518, 18.406616, 138.266342, -233.974304
1715798026.272438, 2.098218, 0.423474, -9.764901, -0.202333, 0.333180, 2.169263, 19.302277, 138.497437, -234.320847
1715798026.305785, 1.690157, 0.432004, -9.889250, -0.180272, 0.647993, 2.288079, 19.857681, 138.569962, -233.990311
1715798026.339004, -0.049231, 0.298677, -10.474932, -0.309201, 0.567302, 2.066955, 20.207947, 138.263336, -234.326904
1715798026.372334, 0.766743, 0.269048, -10.913819, -0.159445, 0.608054, 2.319782, 21.039337, 137.977005, -234.297348
1715798026.405627, -1.017236, 0.543035, -10.593145, -0.082865, 0.781290, 2.255926, 21.646622, 137.794907, -234.440842
1715798026.438989, -1.545008, 0.893037, -10.008062, -0.028793, 0.935367, 1.976448, 21.817749, 137.721817, -234.004440
1715798026.472342, -0.341623, 0.698508, -9.570821, -0.045830, 0.625836, 2.250299, 22.139359, 137.224365, -234.189056
1715798026.505669, -1.563264, 1.294814, -9.848100, -0.067635, 0.330932, 2.067504, 22.911087, 136.798019, -234.026199
1715798026.539003, -1.300800, 1.506851, -9.455151, -0.038888, 0.483570, 1.957277, 23.233002, 136.943405, -234.002991
1715798026.572324, -1.033547, 1.723825, -9.418640, -0.146658, 0.486330, 1.893130, 23.731522, 136.027725, -233.886566
1715798026.605670, -1.172261, 1.759738, -9.595661, -0.173802, 0.744126, 1.735348, 23.979401, 135.368118, -233.817841
1715798026.639043, -0.771232, 1.950377, -9.780463, -0.299877, 0.203745, 1.690239, 24.102921, 134.916611, -233.509750
1715798026.672337, -1.105373, 1.699734, -10.037092, -0.361957, 0.632527, 1.413550, 24.637283, 134.520309, -233.983688
1715798026.705673, -0.354791, 1.212364, -10.596288, -0.224689, 1.081869, 1.360601, 24.331421, 133.947067, -233.054306
1715798026.738273, -1.148169, 1.979705, -10.250924, -0.120271, 0.392196, 1.311813, 24.397446, 133.681946, -233.219345
1715798026.772459, -1.737592, 2.482488, -9.896582, -0.256855, 0.136986, 1.074299, 24.569855, 133.633850, -233.111664
1715798026.805677, -1.901445, 2.429965, -10.250625, -0.328998, 0.231423, 0.950891, 24.508743, 132.685089, -232.789108
1715798026.839013, -4.018667, 2.249203, -11.731738, -0.448073, 0.055917, 0.685354, 24.667618, 132.257477, -232.798203
1715798026.872454, -4.515614, 2.132186, -12.682236, -0.050274, 0.184464, 0.134278, 24.698761, 131.971008, -232.722900
1715798026.905681, -4.632780, 2.064849, -12.552350, 0.241491, 0.047660, -0.086058, 24.679276, 132.149567, -232.751755
1715798026.939010, -6.757185, 2.713678, -11.575217, 0.145925, -0.125029, -0.562263, 24.759232, 132.504471, -232.667572
1715798026.972343, -4.828805, 2.551321, -11.917139, 0.346595, 0.123242, -1.195529, 24.771484, 132.973190, -232.960312
1715798027.005678, -4.981735, 3.006818, -11.506384, 0.318870, -0.181568, -1.462040, 24.037415, 133.336395, -232.633759
1715798027.038972, -3.978864, 3.137452, -11.910704, 0.407911, -0.695460, -1.719453, 23.938507, 133.785675, -232.803192
1715798027.072342, -4.236689, 3.489399, -11.475109, 0.513876, -0.775312, -2.169182, 23.954529, 134.910034, -233.331100
1715798027.105665, -4.039317, 3.860800, -11.426178, 0.674562, -0.454931, -2.728418, 23.921494, 135.267975, -233.604904
