SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1715797956.987005, -1.753603, -2.331354, -8.439561, 0.456124, 0.555310, -0.090450, 13.955444, 140.436523, -236.974380
1715797957.020729, -1.476923, -2.855684, -9.540295, 0.120688, 0.150036, 0.061824, 13.450424, 140.883774, -236.941116
1715797957.053987, -1.562366, -2.625242, -9.457845, -0.217074, -0.274828, 0.174313, 13.650925, 140.853043, -237.269821
1715797957.087299, -1.884087, -2.200122, -9.274838, -0.075786, 0.003100, 0.020594, 13.918060, 140.701401, -237.127838
1715797957.120649, -1.536329, -2.598008, -9.870994, 0.111955, 0.188970, -0.099001, 13.879562, 140.823792, -237.058517
1715797957.154080, -1.318158, -2.875137, -9.761609, 0.077387, -0.016642, -0.006361, 13.603546, 140.989899, -237.277237
1715797957.187337, -1.361702, -2.833089, -9.102007, 0.012807, -0.014199, 0.022076, 13.386383, 140.924667, -237.279938
1715797957.220824, -1.328632, -2.782661, -9.138219, -0.027322, 0.070300, 0.051008, 13.520798, 140.945190, -237.457153
1715797957.253987, -1.395969, -2.701857, -9.433603, -0.090502, 0.050291, 0.067360, 13.689865, 140.610260, -237.116959
1715797957.287317, -1.241693, -2.826954, -9.568726, -0.030449, 0.152019, 0.120768, 13.502533, 140.789612, -237.197495
1715797957.320662, -0.932990, -3.117400, -9.329905, 0.045998, 0.319225, 0.239566, 13.263428, 141.000656, -237.407532
1715797957.354074, -1.134103, -3.002778, -9.372701, -0.011885, 0.319939, 0.369692, 13.525070, 141.245865, -237.254059
1715797957.387465, -1.386243, -2.773533, -9.501689, -0.161384, 0.157391, 0.359754, 13.813309, 140.851486, -237.530869
1715797957.420646, -1.263091, -2.827702, -9.414151, -0.193526, 0.197888, 0.460018, 13.658417, 140.563431, -237.400253
1715797957.453974, -1.537377, -3.279458, -9.158420, -0.221700, 0.511346, 0.791197, 14.128937, 140.699966, -237.339554
1715797957.487337, -1.300351, -2.775179, -9.501090, -0.146709, 0.432999, 1.106718, 13.763062, 140.787994, -237.362762
1715797957.520699, -1.091307, -2.526631, -9.599103, -0.028757, 0.287028, 1.221410, 14.733963, 140.724457, -237.197159
1715797957.554154, -0.537498, -2.535460, -9.396194, -0.134698, 0.454036, 1.442032, 14.841873, 140.785553, -237.286942
1715797957.587398, -0.884059, -2.095375, -9.874137, -0.250769, 0.443792, 1.384749, 15.592636, 140.606094, -237.051697
1715797957.620693, -0.990900, -1.452383, -10.201544, -0.202912, 0.183297, 1.001744, 16.297623, 140.794815, -237.003479
1715797957.654112, -0.766593, -1.469441, -9.963171, -0.234728, 0.034291, 0.654949, 16.526413, 140.618210, -237.095184
1715797957.687345, -0.885256, -1.996764, -10.323049, -0.381917, 0.078746, 0.622529, 16.807388, 140.688568, -236.987106
1715797957.720776, -0.665438, -2.587234, -10.036643, -0.453925, 0.401299, 0.572556, 16.936768, 140.204697, -236.797729
1715797957.754033, -1.876306, -1.620426, -11.395203, -0.376308, 0.362414, 0.874282, 17.228836, 140.193588, -236.727737
1715797957.787343, -0.886752, -1.044321, -11.079467, 0.897181, -0.789244, 0.799593, 17.803116, 140.079468, -236.692719
1715797957.820718, -1.137994, -0.911742, -8.606407, 1.028852, -0.321682, 0.440722, 18.452164, 140.830032, -237.390610
1715797957.854107, -1.350479, -1.563114, -7.959224, 0.077523, 0.391851, 0.156144, 18.700806, 140.976913, -237.338181
1715797957.887354, -1.023521, -1.844283, -8.139687, -0.655868, 0.477008, 0.279485, 18.519424, 141.047714, -237.207550
1715797957.920785, -1.200542, -1.136797, -7.585280, -1.252553, 1.845485, -0.140761, 18.380356, 140.263153, -236.955170
1715797957.954048, -0.270844, -1.359308, -10.956316, -0.738951, 2.310635, -0.121364, 16.827026, 139.722595, -235.990677
1715797957.987338, 1.529296, -1.129764, -10.974721, 0.135053, 1.353492, 0.441148, 16.107727, 139.647034, -235.767212
1715797958.020660, -1.007959, -1.205929, -12.209381, -0.116505, 1.100038, 0.146148, 15.571274, 139.827377, -236.191010
1715797958.054072, 0.305111, -1.132308, -10.704625, -0.675259, 0.598295, 0.168317, 15.147232, 139.455902, -236.037552
