SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1715946944.232385, 0.456694, -0.392649, -10.043526, 0.068992, 0.091356, 0.050121, 8.822556, 118.451462, -234.935074
1715946944.265737, 0.563386, -0.238971, -9.912145, 0.042223, 0.029100, -0.058595, 8.502121, 118.457260, -235.025253
1715946944.299066, 0.584933, -0.353594, -9.734375, 0.346533, 1.066472, -0.159609, 8.245132, 118.611069, -235.206070
1715946944.332455, 1.079785, -0.756717, -10.190321, 0.451563, 1.165612, -0.115967, 8.018387, 118.840195, -235.402191
1715946944.365729, 1.082927, -0.982820, -9.614066, 0.279664, 0.644397, -0.036131, 7.046326, 119.218277, -235.450623
1715946944.399055, 1.399561, -1.165228, -9.358186, 0.066042, 0.285105, 0.052389, 7.001816, 119.359543, -235.539398
1715946944.432398, -0.373495, -0.823156, -8.448240, -0.225828, 0.509065, -0.270835, 6.379150, 119.227646, -235.847565
1715946944.465715, 0.671274, -0.843358, -10.864289, -0.602079, -0.628852, -0.592078, 6.712051, 119.084000, -235.903259
1715946944.498662, 0.905756, 0.068983, -10.325593, -0.333830, -0.183800, -0.264056, 7.077637, 118.387939, -236.130997
1715946944.532005, 2.282123, -0.093224, -9.940426, -0.141484, 0.284748, 0.108815, 7.001434, 118.414886, -235.936462
1715946944.565880, 2.559551, -0.514454, -8.454974, -0.239213, 0.606479, 0.725420, 6.781906, 118.371094, -236.024216
1715946944.599171, 1.849521, -1.037138, -7.927052, -0.494840, -0.463192, 0.649300, 6.498856, 118.257675, -236.749451
1715946944.632444, 2.509722, -1.291971, -5.140201, -1.197099, -1.310663, 0.513305, 6.889664, 117.792892, -236.317612
1715946944.665727, -0.456095, -0.240019, -8.170961, -1.180599, -0.463824, 0.418187, 7.356827, 117.408310, -236.589294
1715946944.699124, -0.429310, -0.080954, -8.878448, -0.817234, -0.886394, -0.272296, 7.333527, 116.697083, -236.395767
1715946944.732433, -0.193781, 0.754323, -7.250840, -0.708706, -0.702345, -0.705702, 8.395432, 115.125427, -236.111618
1715946944.765730, -0.158017, 1.670704, -6.975507, -0.881891, -0.375317, -1.421799, 8.400513, 114.810364, -236.585037
1715946944.799125, 2.042853, 1.124676, -8.317157, -0.566714, 0.310403, -1.231070, 9.224014, 113.752060, -236.655655
1715946944.832506, 0.761655, -5.767781, -12.857162, 0.951986, -1.720352, -0.005846, 9.764725, 113.323700, -236.876144
1715946944.865453, -5.862352, -0.950498, -12.037597, 1.707632, -1.493780, -1.214653, 11.198898, 114.615723, -235.689758
1715946944.899107, 1.577629, 1.239149, -6.899790, 0.329649, 0.733772, -1.873349, 11.628601, 114.602371, -235.658920
1715946944.932549, 4.752640, 2.805555, -8.452280, -0.924239, 0.302730, -0.544368, 12.332687, 114.037842, -235.623215
1715946944.965802, 4.812794, 4.074632, -9.904363, -0.902822, -0.518044, 0.734751, 11.972290, 113.339767, -235.937073
1715946944.999098, 1.549497, 4.487781, -10.314819, -1.324368, -0.803307, 1.459786, 12.143478, 113.245865, -236.015335
1715946945.032504, -1.700781, 4.468777, -12.606220, -0.960761, -0.182866, 0.628781, 11.918167, 112.477768, -236.643860
1715946945.065872, 0.267851, 3.513341, -13.265972, -0.321012, -0.895805, 0.830496, 11.946396, 112.322540, -237.028641
1715946945.099206, -1.275810, 3.819949, -12.760047, -0.007521, -0.506651, 0.534919, 12.559921, 112.294220, -237.032166
1715946945.132481, 0.124648, 4.097975, -11.588684, 0.009548, 0.052108, 0.280801, 11.789948, 112.479752, -236.965103
1715946945.165721, 0.861164, 3.845387, -12.893524, 0.126180, -0.421717, 0.481420, 12.032272, 112.578110, -237.035263
1715946945.199109, 0.043993, 3.030760, -12.001983, 0.859983, -0.006513, 0.306871, 11.968201, 112.969666, -236.439255
1715946945.231696, 0.360926, 2.384924, -10.901249, 0.541862, -0.030209, 0.416944, 11.824860, 113.392670, -236.485977
1715946945.264883, 0.512359, 1.313669, -12.947543, 0.631138, 0.561110, 0.681764, 11.647629, 113.794968, -235.852966
1715946945.298128, -0.954239, 1.922095, -13.727305, 0.842587, 1.194956, 0.659256, 10.264938, 114.696625, -235.957230
1715946945.332433, -0.084545, 3.273023, -17.130962, 0.277080, 0.718518, 0.599410, 9.543457, 114.970673, -236.116470
1715946945.365733, -0.614562, 3.803638, -20.355802, 0.388479, 0.564159, 0.456081, 8.707535, 115.222748, -235.920822
1715946945.399206, -0.985513, 1.408239, -21.424663, 0.260859, 0.819073, -0.297918, 8.436707, 115.601059, -236.159607
1715946945.432470, 3.110517, -1.123180, -23.551014, 0.443378, -0.729271, -0.025366, 8.246475, 115.688431, -236.120728
1715946945.465825, 3.310732, -0.389058, -20.335451, 0.194769, -1.084284, 0.559534, 8.750961, 116.151291, -235.700775
1715946945.499097, 0.577302, 0.633416, -17.956961, 0.503668, -0.285262, 0.272695, 9.054504, 116.686035, -235.408752
1715946945.532433, 0.329652, 1.836203, -11.149498, 1.159540, -0.217154, 0.121881, 9.171356, 117.158356, -235.368011
1715946945.565767, 0.718560, 2.134880, -5.815516, 1.245713, -0.850100, -0.009832, 9.125122, 118.632690, -234.840591
1715946945.599122, 1.082628, 1.487697, -1.096993, 0.960469, 0.192828, 0.020570, 9.491394, 119.569870, -234.266418
1715946945.632433, -1.217751, 1.026215, -1.104774, 0.383188, 0.394378, -0.553409, 8.976791, 119.727509, -234.709625
1715946945.665735, 0.060005, -0.864157, -2.870199, 1.314482, -0.972698, -0.597527, 9.126617, 120.122559, -234.422272
1715946945.699067, -0.282217, -1.372626, -1.317559, 1.636950, -0.895685, -0.710802, 9.779739, 121.046280, -233.898102
1715946945.732491, -0.858022, -1.539023, -0.846051, 1.591646, -0.880384, -0.654757, 10.975662, 122.350159, -233.370193
1715946945.765884, 0.384569, -3.064728, 0.033220, 1.106608, -0.485254, -0.339590, 10.936539, 123.141586, -233.688187
1715946945.799145, -0.020051, -3.145981, 0.571017, 0.744314, 0.199369, 0.211269, 11.407059, 123.729874, -233.260162
1715946945.832507, -0.855478, -2.971504, 0.124947, 0.596487, 0.892965, 0.535839, 11.171051, 124.082230, -233.539612
1715946945.865766, -3.373430, -2.580201, 0.688183, 0.466576, 0.501133, 0.417982, 10.515305, 124.384048, -233.735687
1715946945.899095, -3.094057, -2.493112, 1.981651, -0.051766, 0.156149, 0.226001, 10.031647, 124.993530, -233.477463
1715946945.932460, -2.641852, -3.058144, 1.866729, -0.343102, -0.037735, 0.222453, 10.145630, 124.927200, -233.969299
1715946945.965767, -2.556259, -1.710807, 2.573468, -0.929264, -0.884533, 0.187179, 10.040085, 124.576645, -233.516586
1715946945.999045, -1.217003, -1.014244, 1.509694, -1.707085, -0.957067, 0.428362, 11.242279, 123.665436, -233.212463
